donor_id,age_group,assay,bright_cells,dim_cells,total_cells,ratio,bright_percent,dim_percent
SG_HEL_H281,old,10x 5' v2,6,290,296,0.020689655172413793,2.027027027027027,97.97297297297297
SG_HEL_H291,adult,10x 5' v2,1,628,629,0.0015923566878980893,0.1589825119236884,99.84101748807632
SG_HEL_H292,adult,10x 5' v2,3,661,664,0.0045385779122541605,0.4518072289156626,99.54819277108435
SG_HEL_H299,adult,10x 5' v2,12,274,286,0.043795620437956206,4.195804195804196,95.8041958041958
SG_HEL_H308,old,10x 5' v2,2,468,470,0.004273504273504274,0.425531914893617,99.57446808510639
SG_HEL_H313,adult,10x 5' v2,1,235,236,0.00425531914893617,0.423728813559322,99.57627118644068
SG_HEL_H323,adult,10x 5' v2,2,220,222,0.00909090909090909,0.9009009009009009,99.09909909909909
SG_HEL_H331,old,10x 5' v2,4,276,280,0.014492753623188406,1.4285714285714286,98.57142857142858
SG_HEL_H336,old,10x 5' v2,0,242,242,0.0,0.0,100.0
SG_HEL_H339,old,10x 5' v2,4,242,246,0.01652892561983471,1.6260162601626018,98.3739837398374
SG_HEL_H353,adult,10x 5' v2,4,239,243,0.016736401673640166,1.646090534979424,98.35390946502058
SHD1,adult,10x 5' v1,7,343,350,0.02040816326530612,2.0,98.0
SHD2,adult,10x 5' v1,27,241,268,0.11203319502074689,10.074626865671641,89.92537313432835
SHD3,adult,10x 5' v1,7,436,443,0.016055045871559634,1.580135440180587,98.41986455981942
SHD4,old,10x 5' v1,13,773,786,0.016817593790426907,1.653944020356234,98.34605597964376
SHD5,old,10x 5' v1,10,301,311,0.03322259136212625,3.215434083601286,96.78456591639872
SHD7,old,10x 5' v1,15,255,270,0.058823529411764705,5.555555555555555,94.44444444444444
